,user_id,churn_score,risk_category,is_likely_churn,risk_velocity,primary_risk_drivers,estimated_days_to_churn
0,1515915625519380000,56.0818210777595,Low,0,0.4165080531102695,None,85.06817892224049
1,1515915625513230000,68.1629986171825,Medium,1,0.4892616365332831,"rfm, behavioral, purchase",45.07700138281751
2,1515915625519010000,55.20710440232468,Low,0,0.3968272319996661,"behavioral, temporal",69.94289559767532
3,1515915625510740000,54.08965678144644,Low,0,0.42590170818553874,behavioral,79.06034321855356
4,1515915625519320000,52.75549638518889,Low,0,0.3827982564539128,temporal,67.3945036148111
5,1515915625356200000,66.91521144209702,Medium,1,0.4399881552940771,"rfm, behavioral, purchase, temporal",55.324788557902984
6,1515915625519330000,56.82904685032708,Medium,1,0.4333605657258655,None,65.41095314967292
7,1515915625507210000,55.19627819204237,Low,0,0.4318689650067916,behavioral,65.95372180795763
8,1515915625519350000,65.79614524031149,Medium,1,0.45031093338156375,"rfm, behavioral, temporal",50.44385475968851
9,1515915625519390000,50.847501091964176,Low,0,0.3816410951643693,behavioral,95.30249890803583
10,1515915625507410000,56.26923560307818,Medium,1,0.4069722070503672,"behavioral, temporal",49.97076439692182
11,1515915625470770000,54.82041612258993,Low,0,0.40723285897875705,None,89.32958387741007
12,1515915625508480000,54.13386656067264,Low,0,0.42656389167042574,behavioral,84.01613343932736
13,1515915625400990000,54.77063677054117,Low,0,0.41273820890833723,None,75.37936322945883
14,1515915625512180000,57.738609805008046,Medium,1,0.42978257094534184,None,59.501390194991956
15,1515915625519340000,62.10506325978152,Medium,1,0.3808863779712349,"rfm, engagement, behavioral, temporal",52.134936740218485
16,1515915625517820000,67.51059015167918,Medium,1,0.47914115228899534,"rfm, behavioral",44.72940984832082
17,1515915625519250000,57.52776316621726,Medium,1,0.3984445739645246,"rfm, temporal",50.71223683378274
18,1515915625361430000,54.799434762911545,Low,0,0.418744266550185,None,85.35056523708846
19,1515915625513570000,70.15859593545103,High,1,0.4827329946845447,"rfm, purchase",29.271404064548975
20,1515915625517630000,52.45673006630141,Low,0,0.37305927794120536,temporal,91.69326993369859
21,1515915625518130000,63.69955251239424,Medium,1,0.4463324415553829,"rfm, temporal",43.54044748760576
22,1515915625477830000,54.13387878755464,Low,0,0.42656395259897656,behavioral,68.01612121244536
23,1515915625517750000,62.1458502284214,Medium,1,0.4405652915563361,"rfm, temporal",50.0941497715786
24,1515915625519370000,54.31115534873815,Low,0,0.41185060891872666,None,83.83884465126185
25,1515915625518850000,55.13384717014452,Low,0,0.41968588540652385,None,71.01615282985549
26,1515915625481240000,66.15142285714346,Medium,1,0.487353971012982,rfm,41.08857714285654
27,1515915625518810000,55.122746860857696,Low,0,0.42370010477020925,None,81.0272531391423
28,1515915625512510000,54.13388629307742,Low,0,0.42656399000022416,behavioral,91.01611370692258
29,1515915625508700000,60.20183176833509,Medium,1,0.39889170949288083,"rfm, temporal",50.03816823166491
30,1515915625499030000,54.13388725407163,Low,0,0.4265639947890156,behavioral,84.01611274592837
31,1515915625499580000,57.5964670183082,Medium,1,0.42810351998466806,None,55.6435329816918
32,1515915625369250000,55.1965405878727,Low,0,0.431869614337662,behavioral,74.9534594121273
33,1515915625510960000,50.4994370193642,Low,0,0.3907966192473669,None,75.6505629806358
34,1515915625518950000,55.68586321870615,Low,0,0.4120623843022546,None,88.46413678129385
35,1515915625455740000,54.13388884469382,Low,0,0.4265640027153463,behavioral,65.01611115530618
36,1515915625519360000,51.69064635792223,Low,0,0.3763964567269035,temporal,72.45935364207776
37,1515915625469150000,54.133890932406416,Low,0,0.4265640131187598,behavioral,81.01610906759359
38,1515915625519400000,65.60290783195272,Medium,1,0.46953775797341624,rfm,57.63709216804728
39,1515915625517090000,53.6701917106645,Low,0,0.3975948221665794,temporal,66.4798082893355
40,1515915625506250000,75.16587584283747,High,1,0.42084413957080685,"behavioral, purchase, temporal",23.26412415716254
41,1515915625387780000,54.13389756022303,Low,0,0.42656404614625537,behavioral,69.01610243977697
42,1515915625518960000,46.10401453045867,Low,0,0.33201171546463604,"engagement, temporal",100.04598546954134
43,1515915625504920000,67.66179539639565,Medium,1,0.39232404579453356,"engagement, behavioral, temporal",46.578204603604355
44,1515915625470990000,64.6477819625712,Medium,1,0.4736740724103977,"rfm, behavioral",54.5922180374288
45,1515915625358840000,63.92819987153459,Medium,1,0.46086705131659944,rfm,48.311800128465414
46,1515915625499380000,57.52511909067725,Medium,1,0.4342744977148911,behavioral,48.71488090932275
47,1515915625495730000,54.601704074304,Low,0,0.406119308774645,None,91.548295925696
48,1515915625423850000,71.364650145503,High,1,0.4631381275402141,behavioral,25.065349854497
49,1515915625519410000,69.52015242020038,High,1,0.5003077360086937,rfm,24.90984757979963
50,1515915625447620000,54.13391810797836,Low,0,0.4265641485390895,behavioral,90.01608189202165
51,1515915625519270000,54.07088183467742,Low,0,0.41411318734433333,None,86.07911816532257
52,1515915625425870000,54.13392051089056,Low,0,0.42656416051319546,behavioral,72.01607948910944
53,1515915625516050000,56.94659445627437,Medium,1,0.42659611523478114,behavioral,57.29340554372563
54,1515915625379490000,54.44331935824293,Low,0,0.41905029223642776,behavioral,76.70668064175706
55,1515915625508450000,72.41023924303562,High,1,0.45835349635956824,behavioral,21.019760756964388
56,1515915625514900000,68.90246887565854,High,1,0.5055949055554301,"rfm, purchase",28.527531124341465
57,1515915625518100000,50.61125188925868,Low,0,0.3713009591956343,temporal,97.53874811074132
58,1515915625518970000,55.07680010727254,Low,0,0.41604561570551457,None,80.07319989272746
59,1515915625462400000,54.17813196259853,Low,0,0.42722638480489133,behavioral,78.97186803740146
60,1515915625360770000,70.38638244287299,High,1,0.47357470268654966,behavioral,25.04361755712702
61,1515915625516320000,61.256377118058445,Medium,1,0.4103713280026769,"rfm, purchase, temporal",47.98362288194156
62,1515915625499460000,54.17813721560047,Low,0,0.42722641098533753,behavioral,92.97186278439952
63,1515915625508240000,88.88087084470338,High,1,0.5087348053131482,"rfm, behavioral, temporal",15.0
64,1515915625451470000,57.89461757292344,Medium,1,0.44590095044839656,behavioral,67.34538242707657
65,1515915625407240000,54.178142767043816,Low,0,0.42722643865318694,behavioral,82.97185723295618
66,1515915625420110000,54.17814288304591,Low,0,0.42722643923132997,behavioral,73.97185711695408
67,1515915625519420000,68.48190040710466,High,1,0.4873851829615673,"rfm, behavioral",31.948099592895346
68,1515915625361160000,57.46046919665289,Medium,1,0.4343977067438973,behavioral,61.779530803347114
69,1515915625518360000,56.495358969082446,Medium,1,0.4192579170432132,None,60.744641030917556
70,1515915625399430000,57.89461292458341,Medium,1,0.44590092685505506,behavioral,62.34538707541659
71,1515915625457050000,51.52572269683253,Low,0,0.37818578275057463,temporal,82.62427730316747
72,1515915625454230000,61.31650545287939,Medium,1,0.4364892142003286,"rfm, temporal",47.92349454712061
73,1515915625404260000,84.28975559586908,High,1,0.49976952524597384,behavioral,16.140244404130925
74,1515915625423430000,54.17814919698546,Low,0,0.4272264706993864,behavioral,82.97185080301455
75,1515915625519070000,64.49900445484765,Medium,1,0.45912418979025327,rfm,50.74099554515235
76,1515915625436440000,55.82356201223381,Low,0,0.4323712185263181,None,71.32643798776618
77,1515915625447690000,54.87285349196373,Low,0,0.4140936798564126,None,83.27714650803627
78,1515915625462030000,76.17003573425286,High,1,0.5062521409655154,"rfm, behavioral, purchase",21.259964265747143
79,1515915625513760000,52.82207189636691,Low,0,0.3906012303568578,temporal,88.3279281036331
80,1515915625394680000,55.58534030018809,Low,0,0.4217064606070101,None,69.5646596998119
81,1515915625509320000,56.6555392675729,Medium,1,0.42837259127860666,behavioral,62.584460732427104
82,1515915625518450000,54.618677502891146,Low,0,0.4127949461614408,None,91.53132249710885
83,1515915625391490000,56.00720872438008,Low,0,0.4350927235586166,None,76.14279127561991
84,1515915625499070000,54.178153356681335,Low,0,0.42722649143090363,behavioral,78.97184664331866
85,1515915625485260000,54.17815348926284,Low,0,0.42722649209167685,behavioral,84.97184651073715
86,1515915625466010000,76.7201212720021,High,1,0.5101168249182696,"rfm, behavioral",23.709878727997904
87,1515915625519240000,59.22814109982234,Medium,1,0.394954281761388,"rfm, temporal",64.01185890017766
88,1515915625518520000,46.90124556103778,Low,0,0.30210731759230225,temporal,82.24875443896221
89,1515915625358480000,64.41800537280284,Medium,1,0.47927832245481683,behavioral,58.821994627197164
90,1515915625358850000,57.86907066607221,Medium,1,0.4446165536048422,behavioral,60.37092933392779
91,1515915625517970000,54.818857051432666,Low,0,0.4059976412244154,None,81.33114294856733
92,1515915625430150000,54.17816731141076,Low,0,0.4272265609799118,behavioral,76.97183268858925
93,1515915625511120000,55.31209318598231,Low,0,0.4316536548134627,None,92.83790681401769
94,1515915625519430000,69.89268393734744,High,1,0.5088240051300565,rfm,31.537316062652565
95,1515915625364920000,78.72385361081153,High,1,0.48364068337923183,behavioral,23.706146389188476
96,1515915625510890000,70.46393265589072,High,1,0.4587571194353754,behavioral,25.96606734410929
97,1515915625470760000,54.178175250502,Low,0,0.42722660054756834,behavioral,66.971824749498
98,1515915625511630000,55.65511666281802,Low,0,0.4114230987407935,behavioral,80.49488333718199
99,1515915625508060000,55.512069033908006,Low,0,0.4175284509247092,None,83.637930966092
100,1515915625518220000,53.851749253967306,Low,0,0.3997410087917077,temporal,80.29825074603269
101,1515915625518060000,53.91041250116483,Low,0,0.39801430878295085,temporal,93.23958749883516
102,1515915625515980000,65.47048955422298,Medium,1,0.4570670714563513,"rfm, temporal",52.76951044577702
103,1515915625404210000,54.17817936106436,Low,0,0.4272266210342107,behavioral,71.97182063893564
